,features,importance
0,arpu_6,-0.12640752
1,arpu_7,-0.13957915
2,arpu_8,-0.18276271
3,onnet_mou_6,-0.2053495
4,onnet_mou_7,-0.24995582
5,onnet_mou_8,-0.52364236
6,offnet_mou_6,-0.3005492
7,offnet_mou_7,-0.2980802
8,offnet_mou_8,-0.66534805
9,roam_ic_mou_6,-0.033252943
10,roam_ic_mou_7,-0.031174153
11,roam_ic_mou_8,-0.005327868
12,roam_og_mou_6,0.07273209
13,roam_og_mou_7,0.020838963
14,roam_og_mou_8,0.021390695
15,loc_og_t2t_mou_6,-0.00945331
16,loc_og_t2t_mou_7,0.11385676
17,loc_og_t2t_mou_8,0.22794437
18,loc_og_t2m_mou_6,0.074040495
19,loc_og_t2m_mou_7,0.06700477
20,loc_og_t2m_mou_8,0.34619468
21,loc_og_t2f_mou_6,0.004987581
22,loc_og_t2f_mou_7,0.013776207
23,loc_og_t2f_mou_8,0.0075247893
24,loc_og_t2c_mou_6,0.005316709
25,loc_og_t2c_mou_7,-0.024023345
26,loc_og_t2c_mou_8,-0.004567055
27,loc_og_mou_6,0.11945203
28,loc_og_mou_7,-0.036869425
29,loc_og_mou_8,-0.093021706
30,std_og_t2t_mou_6,0.014386377
31,std_og_t2t_mou_7,0.01485156
32,std_og_t2t_mou_8,0.08771856
33,std_og_t2m_mou_6,0.10040946
34,std_og_t2m_mou_7,0.05062203
35,std_og_t2m_mou_8,0.17326844
36,std_og_t2f_mou_6,0.020978104
37,std_og_t2f_mou_7,-0.020446189
38,std_og_t2f_mou_8,0.038524944
39,std_og_mou_6,0.076060705
40,std_og_mou_7,0.06939496
41,std_og_mou_8,0.10617246
42,isd_og_mou_6,0.08000394
43,isd_og_mou_7,-0.012443951
44,isd_og_mou_8,-0.00404059
45,spl_og_mou_6,0.019591495
46,spl_og_mou_7,-0.0041430346
47,spl_og_mou_8,0.10358744
48,og_others_6,0.010705141
49,og_others_7,-0.010142093
50,og_others_8,0.89255875
51,total_og_mou_6,0.1675933
52,total_og_mou_7,0.15995689
53,total_og_mou_8,0.70152545
54,loc_ic_t2t_mou_6,-0.21002623
55,loc_ic_t2t_mou_7,-0.5486841
56,loc_ic_t2t_mou_8,-0.18049286
57,loc_ic_t2m_mou_6,-0.29211324
58,loc_ic_t2m_mou_7,-0.44959068
59,loc_ic_t2m_mou_8,-0.38376817
60,loc_ic_t2f_mou_6,-0.05109969
61,loc_ic_t2f_mou_7,-0.19557275
62,loc_ic_t2f_mou_8,0.22612731
63,loc_ic_mou_6,-0.29831028
64,loc_ic_mou_7,-0.28147078
65,loc_ic_mou_8,-0.9324841
66,std_ic_t2t_mou_6,-0.14632677
67,std_ic_t2t_mou_7,-0.20811975
68,std_ic_t2t_mou_8,-0.14247918
69,std_ic_t2m_mou_6,-0.24498826
70,std_ic_t2m_mou_7,-0.23813929
71,std_ic_t2m_mou_8,-0.26362488
72,std_ic_t2f_mou_6,-0.036468197
73,std_ic_t2f_mou_7,-0.036016196
74,std_ic_t2f_mou_8,0.1431485
75,std_ic_mou_6,0.009938906
76,std_ic_mou_7,-0.07597764
77,std_ic_mou_8,-0.42907724
78,total_ic_mou_6,0.8067104
79,total_ic_mou_7,1.0466726
80,total_ic_mou_8,2.4869013
81,spl_ic_mou_6,0.038325645
82,spl_ic_mou_7,0.05390068
83,spl_ic_mou_8,0.40657088
84,isd_ic_mou_6,-0.20491296
85,isd_ic_mou_7,-0.2228662
86,isd_ic_mou_8,-0.5267493
87,ic_others_6,-0.017092425
88,ic_others_7,-0.053657822
89,ic_others_8,-0.030061292
90,total_rech_num_6,0.013510852
91,total_rech_num_7,-0.10146858
92,total_rech_num_8,0.24634507
93,total_rech_amt_6,-0.01602052
94,total_rech_amt_7,0.15854399
95,total_rech_amt_8,0.1766876
96,max_rech_amt_6,0.025155801
97,max_rech_amt_7,-0.022760287
98,max_rech_amt_8,-0.01865956
99,last_day_rch_amt_6,0.008192927
100,last_day_rch_amt_7,0.0037596133
101,last_day_rch_amt_8,0.23702282
102,vol_2g_mb_6,0.02502925
103,vol_2g_mb_7,-0.035413638
104,vol_2g_mb_8,0.03527163
105,vol_3g_mb_6,0.0052271597
106,vol_3g_mb_7,0.021439886
107,vol_3g_mb_8,0.034001146
108,monthly_2g_6,0.009540169
109,monthly_2g_7,0.058327954
110,monthly_2g_8,0.0929573
111,sachet_2g_6,-0.0040562376
112,sachet_2g_7,-0.005996629
113,sachet_2g_8,0.13226052
114,monthly_3g_6,0.015969686
115,monthly_3g_7,0.01959373
116,monthly_3g_8,0.10127649
117,sachet_3g_6,-0.0029964463
118,sachet_3g_7,-0.033660676
119,sachet_3g_8,0.07295424
120,aon,0.1960288
121,aug_vbc_3g,0.06298438
122,jul_vbc_3g,-0.05789182
123,jun_vbc_3g,0.02632772
